lambda,precision@10,ndcg@10,diversity,popularity_bias
1.0,0.07586206896551724,0.19337680515478095,0.6292104109900233,0.9917881724231782
0.9,0.07575259989053093,0.19327334007295568,0.646530457380891,0.9918830174408046
0.8,0.07449370552818828,0.1903973031399252,0.6693393856270511,0.9919352093558998
0.7,0.07334428024083196,0.18774008654686966,0.6987111885582694,0.9918938107563842
0.6,0.07044334975369458,0.18101835232806038,0.7402937677231474,0.9915909744933528
0.5,0.06562671045429666,0.17117868842377482,0.7867219872270003,0.9908679064930168
0.4,0.057088122605363986,0.15364239357551196,0.8294758095218253,0.9897163874658014
0.3,0.04674329501915708,0.13354474088104368,0.8616564226964379,0.9883239311902036
0.2,0.039135194307608104,0.11864414110360799,0.882580079260075,0.9868664740647565
0.1,0.03316912972085386,0.10610554961943099,0.8956932735991022,0.9852663592930295
